district_name,city,mean_radiance
Douala 1er,Douala,13.997539570551762
Douala 2e,Douala,10.254958609058798
Douala 3e,Douala,6.136907941536896
Douala 4e,Douala,2.2876669463760844
Douala 5e,Douala,4.262470436230381
Douala 6e,Douala,0.3676910599388305
Yaounde 1er,Yaounde,14.165397811868724
Yaounde 2e,Yaounde,10.90152962080052
Yaounde 3e,Yaounde,7.979102984601804
Yaounde 4e,Yaounde,13.229416808331605
Yaounde 5e,Yaounde,18.220760501081127
Yaounde 6e,Yaounde,13.250827258007911
Yaounde 7e,Yaounde,6.528635143193935
