district_name,city,area_sqkm,total_water_length_km,water_density_km_per_sqkm
Douala 1er,Douala,32.05980442,27.528821073149267,0.8586708986900696
Douala 2e,Douala,16.12294611,24.02735663678955,1.4902584473619844
Douala 3e,Douala,167.40323908,140.47920789956058,0.8391666055662594
Douala 4e,Douala,204.00153055,203.55574860715228,0.9978148107926157
Douala 5e,Douala,160.80450175,72.26986891997586,0.449426901196663
Douala 6e,Douala,395.17514168,211.45930420955168,0.5351027478868713
Yaounde 1er,Yaounde,56.17916457,59.90362391535698,1.0662960970292867
Yaounde 2e,Yaounde,22.95570172,19.63769407416413,0.8554604130029675
Yaounde 3e,Yaounde,68.15909723,37.45163513609878,0.549473755641449
Yaounde 4e,Yaounde,58.799044,68.58470821293507,1.1664255665948424
Yaounde 5e,Yaounde,25.85118781,32.867140313099206,1.271397684108938
Yaounde 6e,Yaounde,22.15534857,29.659082933732424,1.3386872628080897
Yaounde 7e,Yaounde,35.30821519,46.43907959158552,1.3152485715204887
